microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol,slope,activity
E. coli K12,amc,l-leucine-amc,0.666666667,300,3,31693.03,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,400,1,20595.49,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,400,1,26766.27,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,400,1,31919.64,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,400,1,36325.96,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,400,1,40587.02,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,400,2,24919.77,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,400,2,26567.73,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,400,2,31347.9,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,400,2,35701.76,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,400,2,39801.47,0,0.001,,
E. coli K12,amc,l-leucine-amc,0,400,3,22255.11,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.166666667,400,3,26479.96,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.333333333,400,3,31223.92,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.5,400,3,35725.34,0,0.001,,
E. coli K12,amc,l-leucine-amc,0.666666667,400,3,39411.93,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,0,1,33980.66,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,0,1,33957.96,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,0,1,33960.55,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,0,1,34575.85,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,0,1,34747.77,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,0,2,33649.45,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,0,2,33887.62,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,0,2,34167.03,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,0,2,34134.13,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,0,2,34113.62,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,0,3,33452.68,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,0,3,33951.5,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,0,3,34134.13,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,0,3,34077.44,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,0,3,34179.89,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,50,1,37225.27,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,50,1,78490.17,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,50,1,114061.52,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,50,1,144895.21,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,50,1,174165.14,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,50,2,36989.9,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,50,2,80344.33,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,50,2,114532.25,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,50,2,147203.6,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,50,2,176990.1,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,50,3,37323.56,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,50,3,78053.29,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,50,3,112392.05,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,50,3,146584.89,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,50,3,171808.81,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,100,1,39521.86,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,100,1,101013.4,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,100,1,147244.28,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,100,1,190415.79,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,100,1,230969.62,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,100,2,39848.01,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,100,2,101763.03,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,100,2,149522.4,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,100,2,193899.96,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,100,2,235708.32,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,100,3,39902.98,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,100,3,99316.25,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,100,3,146325.46,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,100,3,187896.42,0,0.001,,
